numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
248,0.6931,0.6196,0.4062,-1.0992,-1.4122,-0.2977
249,0.6943,0.6223,0.3933,-2.6260,-1.1603,-1.6718
250,0.6921,0.6226,0.4060,-2.1374,-2.8397,0.2824
251,0.6887,0.6245,0.3979,-1.1832,-1.3588,-0.9542
252,0.6880,0.6245,0.4021,1.2672,0.2443,-1.2290
253,0.6809,0.6367,0.4106,-1.5878,-2.9695,-0.8855
254,0.6880,0.6304,0.3958,-1.0840,-0.6794,-1.6107
255,0.6892,0.6301,0.4041,-1.3817,-1.0534,-0.1756
256,0.6873,0.6365,0.3975,-3.7481,-3.0229,-0.8244
257,0.6809,0.6348,0.4053,-0.5344,-0.9313,-0.9618
258,0.6863,0.6355,0.3989,-0.7252,-1.7557,-0.7176
259,0.6755,0.6404,0.3972,-2.9389,-3.0305,-0.2595
260,0.6855,0.6406,0.3992,-2.5802,-2.0458,-0.6565
261,0.6799,0.6365,0.4004,0.1908,-1.8931,0.7710
262,0.6753,0.6482,0.3977,-1.3435,-1.2290,-0.9924
263,0.6753,0.6416,0.4038,-2.5115,-2.4809,-0.2519
264,0.6741,0.6433,0.4011,-4.8931,-3.8779,0.0305
265,0.6787,0.6416,0.3926,-0.0305,0.1756,-2.2672
266,0.6736,0.6423,0.4019,0.3664,-1.3435,0.7023
267,0.6709,0.6450,0.4043,-3.6336,-2.6718,-0.8626
268,0.6682,0.6506,0.3948,-2.6412,-2.4504,-0.7634
269,0.6699,0.6519,0.3955,-0.9466,-1.5038,-0.2290
270,0.6663,0.6541,0.4021,-2.2977,-2.0687,-0.6947
271,0.6655,0.6538,0.3928,-3.3664,-2.2443,-1.4427
